2019-04-28 23:58:41,"b'RT @RahulGandhi: Our farmers are our pride &amp; strength. For the past 5 years, Mr Modi &amp; the BJP have treated them as a liability. India\xe2\x80\x99s fa\xe2\x80\xa6'"
2019-04-28 23:58:39,b'RT @ashoswai: India is NOT catching up with China - India has fallen further behind China under Modi! https://t.co/wRmuQ3qfg8'
2019-04-28 23:58:33,b'Mahamilawat is rattled at BJP\xe2\x80\x99s victory prospects in Uttar Pradesh: PM Modi in Uttar Pradesh\xe2\x80\xa6 https://t.co/qQ4F1lClzl'
2019-04-28 23:58:32,b'RT @Ish_Bhandari: PM Modi aims development of India.\n\nOpposition aims protecting &amp; development of own dynasty.\n\nIndia choose wisely.'
2019-04-28 23:58:26,"b'RT @bhaiyyajispeaks: Narendra Modi: My mom washed dishes, I used to sell tea, it is just your blessings that i have come a long long way.\xe2\x80\xa6'"
2019-04-28 23:58:24,"b'RT @OpIndia_com: Modi is here to stay, whether the 600 members of \xe2\x80\x98intolerant gang\xe2\x80\x99 like it or not\n\nhttps://t.co/1TcZIfJZiA'"
2019-04-28 23:58:20,b'The Mahamilwati parties are rattled seeing the support for the BJP in UP: PM Modi in Bareilly\xe2\x80\xa6 https://t.co/46AnHsgqzK'
2019-04-28 23:58:15,b'RT @dhruv_rathee: Tej Bahadur is looking all set to become the join opposition candidate in Varanasi against Modi  \n\nSP-BSP will remove the\xe2\x80\xa6'
2019-04-28 23:58:13,b'RT @dhruv_rathee: One on One #DebateChallenge \n\nFollowing MP Candidates should debate which each other so people can decide who is a better\xe2\x80\xa6'
2019-04-28 23:58:00,"b'""India continues to lag China on every geopolitical metric""\n\nIndia Slips Further Behind China During First Five Yea\xe2\x80\xa6 https://t.co/o22IGnNLNp'"
2019-04-28 23:57:57,"b'RT @ashish_sanghal: Modi ji @narendramodi who will hold builders accountable for promises made to home buyers ? 25,000+ home buyers in Jayp\xe2\x80\xa6'"
2019-04-28 23:57:51,b'RT @Ish_Bhandari: PM Modi aims development of India.\n\nOpposition aims protecting &amp; development of own dynasty.\n\nIndia choose wisely.'
2019-04-28 23:57:50,"b""RT @rebelawyer: India's debt up 50% to Rs 82 lakh crore in Modi era  https://t.co/ItNrOPBZ6C"""
2019-04-28 23:57:49,"b'PM Modi addresses Public Meeting at Patan, Gujarat\nhttps://t.co/aFT2dALRbf\n\nvia NaMo App https://t.co/Qrv5YJq63w'"
2019-04-28 23:57:43,"b'RT @IndusSpirit: The main draw back of BJP is , it will not learn a lesson or 2, from the past. 2) BJP has no credible #psephologist to adv\xe2\x80\xa6'"
2019-04-28 23:57:38,"b""@AnupamPKher Nonsense. Is this good that you label someone only on basis of few words which can't be implemented in\xe2\x80\xa6 https://t.co/bU62E9nYOE"""
2019-04-28 23:57:37,"b'RT @RahulGandhi: Our farmers are our pride &amp; strength. For the past 5 years, Mr Modi &amp; the BJP have treated them as a liability. India\xe2\x80\x99s fa\xe2\x80\xa6'"
2019-04-28 23:57:34,b'RT @dhruv_rathee: Tej Bahadur is looking all set to become the join opposition candidate in Varanasi against Modi  \n\nSP-BSP will remove the\xe2\x80\xa6'
2019-04-28 23:57:25,"b""Text of PM Modi's Speech at public meeting in Asansol, West Bengal\nhttps://t.co/medOsW2Fab\n\nvia NaMo App https://t.co/NFEjNCQkcn"""
2019-04-28 23:57:19,"b'@ashoswai Thousand of Muslim are being persecuted in Balochistan, Dalits are being killed in Bangel but no outrage\xe2\x80\xa6 https://t.co/QN9gwaThOx'"
2019-04-28 23:57:14,"b'RT @PChidambaram_IN: Mr Narendra Modi is the first person who became PM later who campaigned wearing his caste on his sleeve (2014): ""I am\xe2\x80\xa6'"
2019-04-28 23:57:11,b'RT @dhruv_rathee: Tej Bahadur is looking all set to become the join opposition candidate in Varanasi against Modi  \n\nSP-BSP will remove the\xe2\x80\xa6'
2019-04-28 23:57:07,b'RT @ashoswai: The price of Modi killing a crow in Balakot! https://t.co/UjGVCX9KuD'
2019-04-28 23:57:03,"b""PM Modi's candid conversation with Akshay Kumar\nhttps://t.co/PNbAvu4hpf\n\nvia NaMo App https://t.co/ePmJsIXEjl"""
2019-04-28 23:56:52,b'RT @dhruv_rathee: Tej Bahadur is looking all set to become the join opposition candidate in Varanasi against Modi  \n\nSP-BSP will remove the\xe2\x80\xa6'
2019-04-28 23:56:51,b'@ANINewsUP Fraud Modi talks nonsense all day. BJP Lies everyday everywhere. Modi talks Lies always. Nonsense pm Modi ever in history.'
2019-04-28 23:56:50,b'PM Modi addresses public meeting in Jharkhand\nhttps://t.co/kwlNCO3r7N\n\nvia NaMo App https://t.co/XTSjkIZtUv'
2019-04-28 23:56:46,b'RT @iambasantjha: What Modi gave in just 5yrs?\n\n1.5CR Houses\n\n2.63CR houses got electricity\n\n6CR Jobs in MSMEs\n\n7CR Gas Connections\n\n9CR To\xe2\x80\xa6'
2019-04-28 23:56:41,b'RT @ashoswai: India is NOT catching up with China - India has fallen further behind China under Modi! https://t.co/wRmuQ3qfg8'
2019-04-28 23:56:39,"b""Text of PM Modi's Speech at public meeting in  Lohardaga, Jharkhand\nhttps://t.co/FhuYNso3ZM\n\nvia NaMo App https://t.co/OFbPDunV1d"""
2019-04-28 23:56:28,b'RT @dhruv_rathee: Tej Bahadur is looking all set to become the join opposition candidate in Varanasi against Modi  \n\nSP-BSP will remove the\xe2\x80\xa6'
